English,简体中文
Adlam,阿德拉姆字母
Arabic,阿拉伯字母，阿拉伯语
Armenian,亚美尼亚文
Balinese,巴厘语
Bengali,孟加拉文，孟加拉语
Brahmi,婆罗米文
Cherokee,切罗基文
Chinese,中文
Chosŏn'gŭl,朝鲜国文
Cyrillic,西里尔字母
Devanagari,天城文
Dutch,荷兰语
"Ethiopic, Geʽez",吉兹字母
French,法语
Georgian,格鲁吉亚字母
German,德语
Greek,希腊字母
Gujarati,古吉拉特文，古吉拉特语
Gurmukhi,古木基文
Hangul,韩古尔
Hanifi Rohingya,哈乃斐罗兴亚文字
Hebrew,希伯来字母，希伯来语
Hindi,印地语
Hungarian,匈牙利语
Indonesian,印度尼西亚语
Italian,意大利语
Japanese,日语
Javanese,爪哇语
Kannada,卡纳达语
Kashmiri,克什米尔语
Khmer,高棉文，柬埔寨语，高棉语
Korean,朝鲜语，韩国语
Lao,老挝文，老挝语
Latin,拉丁字母
Lepcha,绒巴文
Malayalam,马拉雅拉姆文
Meetei,曼尼普尔文
Mongolian,蒙文，蒙古语
Myanmar,缅文
N'Ko,西非书面字母
Ol Chiki,桑塔利文
Oriya,奥里亚文
Persian,波斯语
Portuguese,葡萄牙语
Punjabi,旁遮普语
Russian,俄语
Spanish,西班牙语
Sundanese,巽他语
Tamil,泰米尔语
Telugu,泰卢固文
Thaana,它拿文
Thai,泰文
Tibetan,藏文
Uighur,维吾尔语
Ukrainian,乌克兰语
Urdu,乌尔都语
Warang Citi,瓦兰齐地文
